0.240862578519*昆明 0.218244159613*安保 0.206411108969*全国 0.174356134446*工作 0.160126018453*安全
0.397761485962*打车 0.214112378974*软件 0.169282124015*司机 0.118566863989*出租车 0.100277147061*嘀嘀
0.240423094176*昆明 0.196216159381*事件 0.19462402723*地方 0.185913760233*城市 0.18282295898*发生
0.252313125254*全国 0.239193170349*代表 0.222482782543*委员 0.146665149073*问题 0.13934577278*北京
0.313618805306*昆明 0.207341037947*暴力 0.168766238742*事件 0.158532100482*火车站 0.151741817522*暴恐
0.414020735335*昆明 0.16002929791*全国 0.154543995509*事件 0.142857674001*关注 0.128548297245*中国
0.311993859432*打车 0.207547198116*补贴 0.201482637144*软件 0.148079697372*乘客 0.130896607936*北京
0.253882616732*支持 0.196333135152*中国 0.193786626297*服务 0.183601130391*提供 0.172396491429*保护
0.272260410457*全国 0.20435121351*记者 0.179176728266*人大代表 0.176534611339*代表 0.167677036428*会议
0.218067711396*安全 0.213927145693*XP 0.197866907305*中国 0.19347561334*提供 0.176662622266*用户
0.322003329903*余额宝 0.219194806314*互联网 0.203183477346*金融 0.159363304531*银行 0.0962550819064*监管
0.359032619444*昆明 0.199529101009*中国 0.160683676805*全国 0.140377301371*国家 0.140377301371*南京
0.310693898513*邓紫棋 0.192699699613*喜欢 0.182937502184*昆明 0.182512827603*希望 0.131156072087*时间
0.226107068368*政府 0.218242550867*工作 0.215934219971*报告 0.177038799052*李克强 0.162677361742*总理
0.381182185527*欧冠 0.159379126343*比赛 0.158228636433*北京 0.156214865005*拜仁 0.144995186692*时间
0.303901872404*欧冠 0.213716801319*时间 0.180750477321*北京 0.167866976231*比赛 0.133763872725*决赛
0.226270495361*投资 0.208052148639*白银 0.199280117512*黄金 0.18803446823*乌克兰 0.178362770259*现货
0.242874693849*工作 0.22765947448*政府 0.179856953746*李克强 0.176337251776*发展 0.173271626149*报告
0.461413790403*昆明 0.192810556784*事件 0.125900140134*火车站 0.110117818117*暴徒 0.109757694561*发生
0.349623058223*委员 0.263157504421*全国政协 0.1371433074*记者 0.125714775701*采访 0.124361354256*代表
