0.399821363783*邓紫棋 0.267729770519*分手 0.141844463033*喜欢 0.101241887043*祝福 0.0893625156212*方向
0.308460504656*欧冠 0.189075698415*时间 0.187916563949*北京 0.180527558867*比赛 0.134019674113*主场
0.270166889527*昆明 0.221469264187*城市 0.184204986077*地方 0.166949224393*事件 0.157209635816*呼吁
0.250237867993*XP 0.202543764384*用户 0.188076511062*中国 0.181399203484*安全 0.177742653076*继续
0.294495053147*问题 0.192483558894*中国 0.183087604149*社会 0.16644320316*改革 0.16349058065*医生
0.424438134539*昆明 0.174792814944*发生 0.155978135707*事件 0.155034111761*火车站 0.0897568030488*暴力
0.344059335903*昆明 0.221304251868*希望 0.155511860647*互联网 0.139847030092*谣言 0.13927752149*发生
0.475691934905*昆明 0.174450340182*事件 0.124967779621*无辜 0.114097327568*新疆 0.110792617724*暴徒
0.284709668497*委员 0.207473808419*全国政协 0.2054390014*记者 0.1584496232*代表 0.143927898484*全国
0.242498186604*问题 0.232646275345*国家 0.199059612459*部长 0.163009797562*农业部 0.16278612803*转基因
0.348594577644*余额宝 0.201030362276*银行 0.182657833507*存款 0.135900084023*基金 0.13181714255*市场
0.298187121046*全国 0.201755490065*人大代表 0.195372293088*发展 0.16710369091*建议 0.137581404891*代表
0.349856939965*昆明 0.228008461604*中国 0.187448006942*事件 0.130529678915*暴恐 0.104156912573*报道
0.260019894248*改革 0.211972989448*工作 0.189619735449*政府 0.178057962921*报告 0.160329417934*全国
0.303087389165*打车 0.192498679712*余额宝 0.1687814437*微信 0.16822970231*相关 0.167402785113*软件
0.369875710878*打车 0.214403346503*软件 0.197633653173*司机 0.139958128366*出租车 0.0781291610801*使用
0.267649849165*工作 0.250832791464*全国 0.181024879812*开展 0.153895198857*进行 0.146597280703*召开
0.359584330396*东莞 0.22499515512*消息 0.153078710335*昆明 0.145683422928*东莞市 0.11665838122*全国
0.220834021612*昆明 0.201169186933*投资 0.198777777289*黄金 0.197183104225*白银 0.182035909942*乌克兰
0.2677382541*报告 0.252442564264*政府 0.196722757271*总理 0.182397917191*工作 0.100698507174*人民大会堂
