0.303617130041*欧冠 0.216753463324*比赛 0.171610576421*时间 0.165743301497*北京 0.142275528717*主场
0.270261740545*报告 0.236863444323*政府 0.189321667657*总理 0.162518947509*工作 0.141034199966*人民大会堂
0.29332589799*全国 0.200885369728*代表 0.196969656926*记者 0.172965830014*人大代表 0.135853245343*问题
0.216393229402*东莞 0.20566287913*市场 0.205365175136*互联网 0.191952598587*余额宝 0.180626117745*数据
0.340740928251*打车 0.190994855332*司机 0.173808766729*嘀嘀 0.162466061905*补贴 0.131989387783*乘客
0.292479753316*中国 0.194833368716*部长 0.189451074429*城市 0.177764204582*发展 0.145471598957*政府
0.22949866062*XP 0.21689733306*用户 0.191694344969*中国 0.181288968136*提供 0.180620693215*腾讯
0.332779214637*东莞 0.228067731192*消息 0.175329163869*东莞市 0.163963873831*昆明 0.0998600164706*广东
0.372876479934*余额宝 0.230090482173*银行 0.169497149*存款 0.127370552955*金融 0.100165335937*协议
0.262030690996*昆明 0.196524314757*中国 0.188168860486*全国 0.179479276947*集团 0.173796856814*代表
0.32242866888*昆明 0.205182616031*北京 0.171835477618*广州 0.152082071428*上海 0.148471166044*中国
0.376535836177*打车 0.197223680756*软件 0.166557167235*出租车 0.164118863219*司机 0.0955644526122*使用
0.263529050618*委员 0.213040119495*全国 0.195505298423*全国政协 0.175753372634*代表 0.15217215883*国家
0.407622066984*昆明 0.181741544705*事件 0.173720275583*火车站 0.121161368225*发生 0.115754744502*暴力
0.461023319718*昆明 0.152935147162*昆明市 0.151824293725*工作 0.137197236376*云南 0.0970200030192*全国
0.383039812468*昆明 0.159651708093*安全 0.158148596331*问题 0.151233495597*事件 0.14792638751*中国
0.436222210341*昆明 0.200515972094*事件 0.135397478145*中国 0.13426237031*暴恐 0.0936019691101*火车站
0.284616371598*工作 0.204943770301*全国 0.184305225216*召开 0.16990683429*安保 0.156227798595*安全
0.35836480475*昆明 0.177310081417*城市 0.171959027194*地方 0.153942524655*发生 0.138423561985*回答
0.386990109184*邓紫棋 0.189484725529*喜欢 0.15926980253*我是歌手 0.15329523066*分手 0.110960132097*龙卷风
