0.310271080299*城市 0.26182080845*东莞 0.153739069968*消息 0.14325728944*深圳 0.130911751844*全国
0.269634438266*代表 0.206191362055*委员 0.188419796696*问题 0.171221265573*公务员 0.16453313741*国家
0.482635000219*昆明 0.194248765479*昆明市 0.119506928862*云南 0.10662018198*工作 0.0969891234601*火车站
0.393222211113*昆明 0.167629186326*中国 0.153325493519*发生 0.152572723267*事件 0.133250385775*国家
0.241928067951*北京 0.200527125353*昆明 0.199868305349*中国 0.179112701217*广州 0.178563800129*上海
0.564860254693*昆明 0.125372144495*事件 0.122005450154*飞机 0.0940792281303*希望 0.0936829225275*安全
0.301157098617*东莞 0.226254604071*观看 0.175804748401*昆明 0.151866545078*消息 0.144917003832*高清
0.364365183192*昆明 0.212481393452*事件 0.159990626708*马航 0.141182393723*飞机 0.121980402926*失联
0.440971598225*中国 0.159956958457*发展 0.158039545346*全国 0.125172470641*投资 0.115859427331*改革
0.27929307234*报告 0.275617767355*政府 0.160000129689*总理 0.14685541415*人民大会堂 0.138233616465*工作
0.42943786479*打车 0.21589500848*司机 0.148998564965*出租车 0.11900550062*软件 0.0866630611442*手机
0.283999214183*欧冠 0.196740840527*北京 0.192889016557*比赛 0.177926136504*时间 0.148444792229*东莞
0.319277805486*余额宝 0.214518703242*互联网 0.193653532835*银行 0.175179384871*金融 0.0973705735661*存款
0.226771306194*记者 0.206298965676*全国 0.205249372087*采访 0.197112974065*中国 0.164567381978*王毅
0.259822500924*委员 0.207916435698*中国 0.197187384516*代表 0.170074025314*全国政协 0.164999653548*全国
0.377904976026*我是歌手 0.256236601487*邓紫棋 0.150632422553*喜欢 0.126452647329*龙卷风 0.0887733526043*韩磊
0.292697277762*全国 0.210881499399*委员 0.192370507456*代表 0.165064821355*人大代表 0.138985894028*会议
0.312449937546*打车 0.240211046242*软件 0.203210501401*嘀嘀 0.129209813225*补贴 0.114918701586*公司
0.401990691909*昆明 0.226426989484*事件 0.128637305714*火车站 0.126996520127*中国 0.115948492766*马航
0.241413606733*XP 0.219634692488*用户 0.200033418401*安全 0.170548170657*腾讯 0.168370111721*支持
