0.457936262419*我是歌手 0.160446806347*邓紫棋 0.152034703954*喜欢 0.121597473082*歌手 0.107984754197*韩磊
0.270601312448*中国 0.219517840864*委员 0.191807436252*全国 0.15951869774*建议 0.158554712697*代表
0.237413062904*部长 0.226198767867*记者会 0.199713516169*全国 0.18993089656*城市 0.146743756501*环保部
0.429986373506*打车 0.197364030651*司机 0.167849558627*软件 0.111524591794*出租车 0.0932754454224*嘀嘀
0.273346031974*昆明 0.210824305988*飞机 0.191899479891*马航 0.182525613749*失联 0.141404568398*事件
0.266978854432*昆明 0.216458130411*事件 0.183958437803*生命 0.167604339417*珍惜 0.165000237937*马航
0.326706272451*东莞 0.171918270854*北京 0.17064950416*半决赛 0.169592198582*新疆 0.161133753953*比赛
0.306654910915*东莞 0.27040353488*昆明 0.16897806499*广州 0.13133995189*消息 0.122623537326*深圳
0.260022786169*全国 0.219617038376*代表 0.218255763313*委员 0.154820826606*工作 0.147283585537*人大代表
0.3140803494*马航 0.195090431654*昆明 0.182611735855*事件 0.16992873087*失联 0.13828875222*飞机
0.400360055753*昆明 0.171273192934*广州 0.144728054774*成都 0.144001067731*北京 0.139637628809*上海
0.259652223022*政府 0.23568220945*报告 0.223194848018*工作 0.165494657643*全国 0.115976061868*中国
0.220151272984*昆明 0.212143212223*失联 0.203552696988*飞机 0.203115757812*马航 0.161037059993*中国
0.308211810363*余额宝 0.218855618405*银行 0.190557027895*互联网 0.162873194186*金融 0.119502349151*市场
0.435070136442*昆明 0.223964570704*昆明市 0.157624768061*云南 0.0966841927972*东莞 0.0866563319953*活动
0.383574864444*中国 0.178581979147*问题 0.156188025879*转基因 0.154177784003*崔永元 0.127477346528*头条
0.398846268895*昆明 0.204278290358*马航 0.176336113302*事件 0.110506485475*希望 0.11003284197*飞机
0.40073767541*昆明 0.170183440348*事件 0.161866883982*火车站 0.156938581329*暴力 0.110273418931*发生
0.215900265934*消息 0.206755995673*服务 0.204978599666*东莞 0.195580415689*XP 0.176784723038*中国
0.337396272684*欧冠 0.217669103931*比赛 0.158705290811*决赛 0.143314442039*北京 0.142914890535*时间
