0.263975607186*马航 0.22064981716*失联 0.175576745205*北京 0.175576745205*记者 0.164221085244*中国
0.377167954124*昆明 0.171125714309*广州 0.153155371881*中国 0.152746909502*杭州 0.145804050185*上海
0.338624153166*马航 0.245757574525*失联 0.1509762985*飞机 0.145867830799*事件 0.11877414301*昆明
0.21687991618*马航 0.211795988612*昆明 0.20883848874*事件 0.188569603354*珍惜 0.173916003114*生命
0.433122941509*我是歌手 0.153556612133*邓紫棋 0.148463157264*歌手 0.140540267924*音乐 0.12431702117*凤凰
0.317973410225*马航 0.18165879913*失联 0.179623542572*马来西亚 0.17849261629*MH370 0.142251631782*飞机
0.249762315634*业务 0.215980147084*市场 0.188271314754*全国 0.17365736265*爆料 0.172328859878*回来
0.374500990798*昆明 0.226258207463*东莞 0.134060509885*广州 0.132849562311*深圳 0.132330729543*小时
0.302205291467*委员 0.195527309535*孩子 0.180417242505*农村 0.178150633679*大学 0.143699522815*代表
0.236465686122*问题 0.208693678286*中国 0.191789545695*昆明 0.183940421033*关注 0.179110668864*马航
0.311386667741*马航 0.192120794611*昆明 0.185301599546*失联 0.179267241958*飞机 0.131923696143*希望
0.253074734689*工作 0.24557399032*报告 0.208370732916*全国 0.154065995684*周强 0.138914546391*院长
0.25449804707*中国 0.220760985559*马航 0.187024449736*昆明 0.168858258817*失联 0.168858258817*安全
0.343331375473*欧冠 0.176348469167*北京 0.174961325841*比赛 0.170799560805*时间 0.134559268714*主场
0.250310843622*人大代表 0.208681586233*老百姓 0.183063731498*手段 0.179149703234*冯大中 0.178794135412*代表团
0.310098859605*全国 0.193171999993*代表 0.180441039478*委员 0.159744324584*工作 0.15654377634*政府
0.244935695726*东莞 0.225913841975*工作 0.224802384046*昆明 0.173913112251*消息 0.130434966002*警方
0.316278042292*余额宝 0.206014199164*互联网 0.188472638055*银行 0.170930489427*金融 0.118304631061*经济
0.451340124395*昆明 0.160504060059*暴恐 0.151556456374*事件 0.120754394448*云南 0.115844964724*暴力
0.375396663759*打车 0.225486391042*软件 0.151151083836*司机 0.1363462743*出租车 0.111619587062*嘀嘀
