0.361120761141*我是歌手 0.188075757394*韩磊 0.162385713696*韦唯 0.154145586342*罗琦 0.134272181426*歌手
0.2355413457*春晚 0.214094023558*徐帆 0.210264004432*主持 0.173497209605*冯小刚 0.166603416706*主持人
0.45887447187*春晚 0.147985616737*期待 0.144996808856*节目 0.124071551268*我是歌手 0.124071551268*时间
0.208888639568*春晚 0.200000071009*思思 0.200000071009*李 0.199444424522*尼格 0.191666793891*主持人
0.358033815893*春晚 0.196693590059*冯小刚 0.1767396436*马 0.144243448453*总导演 0.124289501995*央视
0.227385179489*语言 0.219916642587*春晚 0.21286277045*马 0.195850740275*类节目 0.143984667199*央视
0.406148504382*春晚 0.183934558435*节目 0.148650442487*直通 0.142644918837*春节 0.118621575859*关注
0.413629153333*我是歌手 0.181299464662*邓紫棋 0.149180216471*唱 0.13490487708*喜欢 0.120986288454*泡沫
0.356546564404*春晚 0.180329310794*湖南卫视 0.170767105227*节目 0.148910368008*中国 0.143446651567*亮相
0.397004352335*春晚 0.235847816154*卫视 0.131292132405*综艺 0.120286270957*爱奇艺 0.115569428149*观看
0.547059799624*春晚 0.145040374948*卫视 0.10857042715*综艺 0.100936945998*本山 0.0983924522807*观看
0.487464829704*春晚 0.135709064953*全国 0.134391477482*节目 0.126486930461*中国 0.1159476974*卫视
0.227585587838*观看 0.212240848136*春晚 0.211724708349*综艺 0.207241345041*爱奇艺 0.141207510635*直通
0.481372003079*我是歌手 0.198237963618*张杰 0.114138797749*实力 0.104527361059*喜欢 0.101723874496*支持
0.257670619954*春晚 0.232193054675*观看 0.217139225438*综艺 0.176607830921*爱奇艺 0.116389269013*央视
0.312380942127*春晚 0.213801215553*冯小刚 0.190388391103*节目 0.146027533371*舞台 0.137401917846*总导演
0.222220755651*节目 0.218345157565*我是歌手 0.2093015454*舞台 0.205425947313*春晚 0.144706594071*主持
0.409506251128*我是歌手 0.201359381553*中国 0.154632571728*节目 0.120649163282*歌曲 0.113852632309*声音
0.277981997089*春晚 0.210079304405*崔健 0.187268323148*央视春晚 0.173475552764*摇滚 0.151194822594*演唱
0.25247099028*春晚 0.207920133169*主持 0.194719911221*表演 0.189769719954*明星 0.155119245376*朱军
