0.355270401679*欧冠 0.193482486018*比赛 0.155527593268*主场 0.151693515608*北京 0.144026003427*决赛
0.429380640004*昆明 0.171003536996*工作 0.166506368157*昆明市 0.120356040701*消息 0.112753414142*安全
0.312780239513*昆明 0.239614158121*暴恐 0.155221089271*现场 0.149233102336*歹徒 0.143151410759*火车站
0.339759326939*全国 0.210049419495*人大代表 0.156149988228*问题 0.154104941595*代表 0.139936323743*建议
0.332475537056*委员 0.20753242058*全国政协 0.16562398379*话题 0.158583269483*代表 0.135784789091*改革
0.228107597476*奶茶 0.213830787613*京东 0.211049834575*妹妹 0.181818122997*章泽天 0.165193657339*爆料
0.21459601453*全国 0.206131462816*报告 0.201898951321*工作 0.190917325351*委员 0.186456245982*政府
0.243801249085*银行 0.206305503009*试点 0.202020209702*主席 0.176155593791*尚福林 0.171717444414*银监会
0.370241942375*余额宝 0.241839063063*互联网 0.166636976747*金融 0.112534432158*收益 0.108747585657*京东
0.247599218201*马航 0.246060171716*昆明 0.185296536407*事件 0.163893673939*失联 0.157150399737*飞机
0.270927340392*全国 0.208825910282*接受 0.201546858595*部长 0.163330635014*方案 0.155369255718*参加
0.293074163583*昆明 0.228631119689*马航 0.175454586318*飞机 0.169596345138*失联 0.133243785272*中国
0.238725439869*全国 0.202011842693*中国 0.200838117489*发展 0.190108798499*人大代表 0.168315801449*代表
0.340276581971*余额宝 0.207175938057*存款 0.155588963274*利率 0.153274047942*银行 0.143684468755*基金
0.466867434824*我是歌手 0.206625628526*邓紫棋 0.121244383946*歌手 0.106558731669*音乐 0.0987038210348*北京
0.231226768518*东莞 0.219512042239*杭州 0.213942754703*打车 0.169195707543*回家 0.166122726997*广州
0.385638726121*打车 0.186027017867*软件 0.180482358949*司机 0.142408298279*出租车 0.105443598784*嘀嘀
0.258442443918*全国 0.22828222899*中心 0.225031519063*市场 0.146830749209*记者会 0.14141305882*业务
0.293833130009*昆明 0.229382966986*事件 0.201603184521*马航 0.159377786653*生命 0.115802931831*活着
0.298149417409*中国 0.20123300403*发展 0.185450121829*经济 0.176079147663*政府 0.139088309069*国家
