0.251911661572*安全 0.209841610099*XP 0.185619731915*服务 0.177715850899*中国 0.174911145515*公司
0.277404074611*失联 0.267148900477*马航 0.180713552239*搜救 0.138487009966*飞机 0.136246462706*中国
0.285113283876*马航 0.218447520235*中国 0.212237190143*失联 0.15598223031*客机 0.128219775436*消息
0.335642465428*打车 0.23136247501*软件 0.15435354954*银行 0.140382596362*司机 0.138258913659*试点
0.235314479614*马航 0.205503682688*报道 0.194743491275*我是歌手 0.188922069558*航班 0.175516276865*驾驶舱
0.290310554038*全国 0.182154213302*委员 0.182064221101*代表 0.180621965144*工作 0.164849046416*政府
0.252864724121*全国 0.196011514378*关注 0.193481293006*发展 0.1814256462*人大代表 0.176216822295*代表
0.273115867176*打车 0.206903057699*昆明 0.189207642131*时间 0.182596267558*飞机 0.148177165437*爸爸
0.321998685001*欧冠 0.321342605544*欧冠 0.134253454003*决赛 0.119798688693*米兰 0.102606566759*比赛
0.331184858721*昆明 0.219613128779*昆明市 0.185124060923*全国 0.135466888658*工作 0.128611062919*报道
0.324060387927*马航 0.215391173608*失联 0.17804960142*飞机 0.155536697779*昆明 0.126962139266*航班
0.313933284491*马航 0.224082007384*飞机 0.223863007104*失联 0.123546081473*客机 0.114575619547*MH370
0.364445684554*余额宝 0.189384250198*互联网 0.161542316055*银行 0.149324422348*金融 0.135303326845*财经
0.280263442779*委员 0.215709623873*代表 0.187062708588*中国 0.172145305097*全国政协 0.144818919662*问题
0.270856664313*昆明 0.249629167419*城市 0.168668888925*上海 0.168010968981*北京 0.142834310361*广州
0.33695458403*工作 0.229976724567*政府 0.148456213562*中国 0.145309510538*关注 0.139302967304*召开
0.402158755088*马航 0.22861430546*失联 0.146850794932*事件 0.126575002554*飞机 0.0958011419653*生命
0.337667867474*东莞 0.227811129801*消息 0.172304392983*昆明 0.132987435264*东莞市 0.12922917448*广东
0.258784016752*奶茶 0.232315731393*京东 0.227519929083*妹妹 0.146638723125*章泽天 0.134741599647*掌门人
0.498724850347*昆明 0.168105874319*事件 0.125141961241*发生 0.114878538712*马航 0.093148775381*火车站
