0.240221735448*飞机 0.19581138932*去哪儿 0.190764718002*昆明 0.18861971702*时间 0.18458244021*东莞
0.362968652286*马航 0.216769830873*飞机 0.215505245644*失联 0.127482344652*MH370 0.0772739265448*小时
0.25481611781*马航 0.2071983936*失踪 0.200221772159*飞机 0.178294914*踪迹 0.15946880243*李白
0.278443683293*昆明 0.245574322542*马航 0.190581790201*希望 0.160557135266*打车 0.124843068699*事件
0.344811774863*打车 0.2592030166*昆明 0.175429175096*司机 0.111519448836*软件 0.109036584604*出租车
0.263918117762*中国 0.206331843597*代表 0.18640865113*成龙 0.18013132406*宋祖英 0.163210063451*凤凰
0.417359940659*马航 0.162032377445*祈福 0.141567049142*中国 0.140296663288*准备 0.138743969466*消失
0.297639574123*马航 0.244204596448*失联 0.166048056322*飞机 0.150641026649*MH370 0.141466746458*航班
0.358601068403*余额宝 0.183580844268*银行 0.182009096547*互联网 0.152314889531*XP 0.123494101252*支付
0.28536381181*昆明 0.221895623805*工作 0.184043313938*全国 0.158754113991*消息 0.149943136455*召开
0.273135643353*马航 0.243259367409*失联 0.179499733588*客机 0.161950552332*飞机 0.142154703318*马来西亚
0.512508984102*我是歌手 0.15501825362*喜欢 0.115686696782*歌手 0.114209671435*张杰 0.10257639406*音乐
0.324070656396*马航 0.253387687767*失联 0.165253203861*马来西亚 0.129472901774*飞机 0.127815550202*事件
0.286749573662*马航 0.210019654883*失联 0.199736248808*中国 0.152538153597*飞机 0.150956369049*北京
0.318732304306*我是歌手 0.194148121454*张杰 0.179426187276*动力火车 0.154950948971*突围 0.152742437993*曹格
0.253622923935*马航 0.225603926444*失联 0.191718430279*飞机 0.17053151557*客机 0.158523203772*官员
0.417080064108*欧冠 0.170624921526*决赛 0.14847379409*比赛 0.136699968241*时间 0.127121252034*北京
0.430804821003*昆明 0.185949663328*事件 0.145567874155*火车站 0.128709959743*长沙 0.108967681771*发生
0.329542868814*马航 0.227503122016*失联 0.163265744903*飞机 0.160252126285*家属 0.119436137981*MH370
0.35902399806*马航 0.190968238675*飞机 0.15905207343*越南 0.153622467102*中国 0.137333222733*国家
