0.234641150632*春晚 0.204437895077*马 0.194575833616*组合 0.186357123262*冯小刚 0.179987997412*话题
0.220590371507*主持人 0.21406406756*央视 0.194322276282*春节 0.186816841301*联欢晚会 0.18420644335*春晚
0.202480686087*春晚 0.202131421236*节目 0.199336121152*章子怡 0.198637197691*晚会 0.197414573834*彩排
0.218991708139*有望 0.211157184075*同台 0.196243155843*章子怡 0.187370240894*消息 0.186237711049*马
0.307888808466*春晚 0.192751655403*央视 0.185375161529*主持人 0.174471172346*春节 0.139513202257*冯小刚
0.26666580848*春晚 0.200704142253*语言 0.200000071516*类节目 0.172066091825*马 0.160563885927*主持
0.231235412778*马 0.200341284091*思思 0.194086520664*春晚 0.190674867515*张国立 0.183661914952*毕福剑
0.211802835946*李咏 0.210796760195*主持人 0.202190860563*张国立 0.188442944832*名单 0.186766598464*朱军
0.241557890109*董卿 0.199803980795*张国立 0.18733355368*毕福剑 0.186493019534*春晚 0.184811555882*名单
0.200316374831*越来越近 0.200316374831*换血 0.200052566895*有意 0.199894379479*算 0.199420303963*邀请
0.472990381111*我是歌手 0.15534032429*张杰 0.135786351427*歌手 0.118283196503*唱 0.117599746669*邓紫棋
0.242510260082*春晚 0.220501178834*主持 0.199510810808*阵容 0.183411595971*央视 0.154066154306*张国立
0.206093623169*朱军 0.205861907435*春节 0.199722155671*主持人 0.19624641967*联欢晚会 0.192075894054*央视
0.488730491644*春晚 0.178798699118*节目 0.137204706922*主持 0.102832300182*我是歌手 0.0924338021333*电视
0.510504141703*春晚 0.132191391131*明星 0.126660453772*马 0.122512123301*卫视 0.108131890093*导演
0.209208594734*距离 0.20122670321*剩 0.200134404152*亲民 0.195261298482*牌 0.194168999423*央视
0.217726185621*汪峰 0.216040523378*春晚 0.212427766682*章子怡 0.202071197486*冯小刚 0.151734326832*贝宁
0.229133192037*春晚 0.226740732868*舞台 0.207602101529*登上 0.183679246528*小品 0.152844727038*参加
0.220108026406*李 0.206240335203*思思 0.193556598452*毕福剑 0.191189049086*朱军 0.188905990853*董卿
0.22759435168*春晚 0.211106453031*张国立 0.192899172321*毕福剑 0.185515110663*董卿 0.182884912304*朱军
