0.307721884275*我是歌手 0.251547934308*邓紫棋 0.213960885711*歌手 0.126395415625*湖南卫视 0.100373880082*报道
0.28985676217*欧冠 0.286252737807*欧冠 0.145873236538*时间 0.145358327071*决赛 0.132658936414*比赛
0.290852604737*我是歌手 0.223940344198*李代沫 0.179892841689*歌手 0.154002133268*喜欢 0.151312076108*吸毒
0.287570616514*欧冠 0.278177793729*欧冠 0.15281872385*曼联 0.148483574872*抽签 0.132949291035*巴萨
0.320292822597*欧冠 0.311166536041*欧冠 0.132987161934*阿森纳 0.121688029112*切尔西 0.113865450316*球队
0.459910876491*我是歌手 0.165930004476*张杰 0.131418669861*曹格 0.123421908323*喜欢 0.119318540849*突围
0.234679522862*欧冠 0.233054607376*欧冠 0.18593321254*皇马 0.176880318092*曼联 0.169452339131*切尔西
0.299419109481*马航 0.21884023828*马来西亚 0.180580082792*MH370 0.166087301854*北京 0.135073267593*酒店
0.334453583044*余额宝 0.208087500758*银行 0.179444534873*互联网 0.165122892351*金融 0.112891488975*存款
0.260090021454*马航 0.239453183846*事件 0.179059567395*失联 0.176024696036*报道 0.145372531268*李代沫
0.285983279947*东莞 0.225062790788*XP 0.185921853464*消息 0.154672494688*管理 0.148359581112*东莞市
0.29469697648*马航 0.254045200598*失联 0.22889405816*飞机 0.112692887072*航班 0.109670877689*马来西亚
0.254421244846*马航 0.206349005306*失联 0.192290405673*客机 0.18390026352*搜寻 0.163039080656*中国
0.355351344456*东莞 0.200708692313*广州 0.169830698585*深圳 0.137434177507*北京 0.136675087139*城市
0.294468253787*服贸 0.26628980323*台湾 0.207115125287*大陆 0.13208994098*学生 0.100036876716*事件
0.417533754399*打车 0.195897108531*软件 0.140387313896*嘀嘀 0.127515584045*司机 0.118666239129*补贴
0.460570240419*打车 0.229252640414*司机 0.134340802584*出租车 0.0979340336286*软件 0.077902282954*师傅
0.415730729716*东莞 0.175328305948*东莞市 0.144245947158*政府 0.136475731868*中国 0.12821928531*服贸
0.324707197667*余额宝 0.214473053608*互联网 0.175103582093*理财 0.151106844356*收益 0.134609322276*产品
0.371304873581*东莞 0.262657202748*消息 0.153306183995*东莞市 0.112870614173*服务 0.0998611255035*活动
