0.336770250794*欧冠 0.329169986045*欧冠 0.115817018206*巴萨 0.112197663138*曼联 0.106045081817*拜仁
0.476254014065*我是歌手 0.158752530421*张杰 0.153373853463*喜欢 0.110343364635*歌手 0.101276237416*突围
0.409016648296*余额宝 0.184821731508*银行 0.147435383014*金融 0.129549372875*支付 0.129176864306*支付宝
0.248141984573*马航 0.230269839685*失联 0.211450035348*飞机 0.167325791631*时间 0.142812348764*马来西亚
0.314029455855*马航 0.222221805697*飞机 0.173709489244*失踪 0.145019624602*东莞 0.145019624602*马来西亚
0.283324405675*北京 0.204029082096*马航 0.191598906746*马来西亚 0.16288127285*MH370 0.158166332632*老婆
0.313343560313*东莞 0.204139766248*马航 0.182727230275*打车 0.181299820807*中国 0.118489622357*社会
0.336549290546*马航 0.224841742262*飞机 0.216930343413*失联 0.12927277096*中国 0.0924058528187*客机
0.301380380336*马航 0.274329890509*失联 0.171714703666*飞机 0.129962852963*消息 0.122612172525*客机
0.304886290525*马航 0.257175588432*失联 0.178433195946*航班 0.130916229785*MH370 0.128588695313*飞机
0.275893547371*梦想 0.234869953485*京东 0.185641640822*县长 0.15589978855*沙漠 0.147695069773*沙子
0.250613953548*李代沫 0.233359353379*服贸 0.198028177043*吸毒 0.159410016154*中国 0.158588499875*马航
0.23242750807*马航 0.202505145359*转发 0.196938259101*祈祷 0.18858777457*中国 0.179541312899*呵呵
0.232706996685*管理 0.203753353224*出现 0.203217063132*数据 0.182842179423*XP 0.177480407535*自动
0.45622300838*打车 0.197976384612*司机 0.144596432529*软件 0.118053214154*出租车 0.0831509603253*嘀嘀
0.336466348379*东莞 0.218651764999*服贸 0.187043032715*台湾 0.129572465318*学生 0.12826638859*广州
0.438659931308*东莞 0.156047721928*丐帮 0.147812154261*乞讨 0.134375046786*扫黄 0.123105145717*孩子
0.253716867142*XP 0.231259076689*微软 0.186039737103*停止 0.169044438984*支持 0.159939880082*用户
0.235462500193*欧冠 0.228523052771*欧冠 0.208183798412*决赛 0.182340481575*主场 0.145490167049*北京
0.289216964851*马航 0.228175096086*失联 0.200586459574*客机 0.143809716114*MH370 0.138211763374*飞机
