0.250031054867*马航 0.207857392096*客机 0.189406352854*乘客 0.186770395964*航班 0.165934804219*马来西亚
0.36816679271*东莞 0.20566397968*北京 0.151721275388*我是歌手 0.150372729132*时间 0.124075223089*参加
0.305935983824*服贸 0.270071423597*台湾 0.189512409881*学生 0.147942274298*行政院 0.0865379083998*大陆
0.326778364322*欧冠 0.323950749923*欧冠 0.123175074491*决赛 0.11964232744*皇马 0.106453483825*巴萨
0.356463591248*马航 0.177621810837*失联 0.17059030514*事件 0.160196332927*东莞 0.135127959848*黄金
0.398124028803*余额宝 0.201216262175*银行 0.154080231089*互联网 0.139888626737*金融 0.106690851196*支付宝
0.426156154095*东莞 0.164557474867*深圳 0.159283463749*广州 0.142406178009*佛山 0.10759672928*城市
0.43754042805*打车 0.184025362421*司机 0.155559553957*软件 0.12508420187*出租车 0.0977904537012*嘀嘀
0.338851495023*XP 0.179498992517*微软 0.17815610413*电脑 0.151746704165*管理 0.151746704165*停止
0.299805477169*欧冠 0.296592446222*欧冠 0.151350390118*巴萨 0.13689035186*皇马 0.115361334631*联赛
0.267476190769*马航 0.243490327713*失联 0.179422554546*飞机 0.164747037514*马来西亚 0.144863889459*时间
0.394842181674*我是歌手 0.178805488754*音乐 0.167349063464*歌手 0.131956736904*邓紫棋 0.127046529204*凤凰
0.256585459286*余额宝 0.201380298921*用户 0.194479422177*推出 0.1844422888*支持 0.163112530816*理财
0.220569511293*余额宝 0.20569694439*下调 0.20040328784*额度 0.187799535541*支付宝 0.185530720937*支付
0.204563854558*中国 0.200727037009*漂浮物 0.199717168616*搜寻 0.198303694037*发现 0.19668824578*印度洋
0.292934888988*马航 0.25090907714*失联 0.204001454057*飞机 0.140724034357*客机 0.111430545458*中国
0.322362331424*李代沫 0.238750009957*吸毒 0.167562710595*中国 0.143721452639*娱乐 0.127603495384*歌手
0.205977425583*京东 0.199940929485*梦想 0.19891084181*从政 0.198026607256*县长 0.197144195866*自述
0.311468010107*马航 0.216216034885*失联 0.190178179057*事件 0.150627147193*MH370 0.131510628757*客机
0.388584814345*东莞 0.229457193677*东莞市 0.131897495834*行动 0.125030248072*消息 0.125030248072*开展
