0.269969076376*XP 0.227830112785*使用 0.180597768336*数据 0.174114680854*管理 0.147488361649*服务
0.384860525766*马航 0.161984055784*飞机 0.159684297886*MH370 0.155284828202*马来西亚 0.138186292362*家属
0.406667002618*马航 0.17352166592*飞机 0.142979136051*失事 0.139815290242*生命 0.13701690517*家属
0.21651022721*美剧 0.21578489854*禁令 0.214968935521*美剧 0.183281186848*详情 0.16945475188*实施
0.361903310117*马航 0.182357872985*飞机 0.177567376067*失联 0.156009131746*MH370 0.122162309085*客机
0.229435601548*乘客 0.224758993202*马航 0.210178500519*北京 0.176066290624*丽都 0.159560614107*酒店
0.511291696236*东莞 0.163586599826*东莞市 0.11824140828*消息 0.107632522767*广东 0.0992477728909*深圳
0.251766583964*支付 0.215239108806*打车 0.189709637297*余额宝 0.186960136385*支付宝 0.156324533548*安全
0.309654282956*欧冠 0.307358413954*欧冠 0.153169138151*决赛 0.12536675179*主场 0.104451413148*北京
0.342595108374*美剧 0.330319740788*美剧 0.124381677721*中国 0.115245789624*禁令 0.087457683493*韩剧
0.400385302897*余额宝 0.172043249719*互联网 0.164431726323*银行 0.146067810789*金融 0.117071910271*理财
0.396431511317*我是歌手 0.157576456082*美剧 0.155794000158*喜欢 0.146168340741*歌手 0.144029691702*美剧
0.315357446389*服贸 0.271544617741*台湾 0.16129075204*大陆 0.140106491613*学生 0.111700692217*马航
0.218177460427*美剧 0.216522872829*禁令 0.215754654221*美剧 0.192707613731*详情 0.156837398792*支持
0.230534578649*美剧 0.211396268861*美剧 0.197042135943*网站 0.195519941548*中国 0.165507074999*审查
0.233742893287*马航 0.220707835972*政府 0.196563370671*马来西亚 0.188861052549*政治 0.160124847521*劫机者
0.213184415866*欧冠 0.21232805715*东莞 0.197774211536*欧冠 0.189212750655*比赛 0.187500564793*我是歌手
0.419001402191*打车 0.17764839858*司机 0.155806434*软件 0.128746901769*嘀嘀 0.118796863459*出租车
0.321559397827*美剧 0.320989353822*美剧 0.234057642971*禁令 0.0662006051563*喜欢 0.0571930002235*详情
0.414388486945*马航 0.210610185769*飞机 0.163820900171*失联 0.113047004011*珍惜 0.0981334231037*生命
