0.291332243606*我是歌手 0.270742699155*XP 0.16656456353*电脑 0.138599596669*管理 0.13276089704*邓紫棋
0.299454253531*马航 0.205858376668*失联 0.19019060556*飞机 0.173297311796*客机 0.131199452446*搜寻
0.237708160135*马航 0.231225720566*中国 0.191248145304*余额宝 0.175581204161*事件 0.164236769834*平台
0.304223218767*服贸 0.22205026412*台湾 0.186501875742*大陆 0.158681672606*学生 0.128542968764*马航
0.319719082655*欧冠 0.319062760979*欧冠 0.135175720648*决赛 0.120000105011*联赛 0.106042330706*曼联
0.217987125511*服贸 0.213640764847*台湾 0.205783872946*学生 0.18254786249*民进党 0.180040374206*黑箱
0.439967620427*马航 0.155310900852*事件 0.149488679353*中国 0.143194594727*梁静茹 0.112038204642*希望
0.45076961832*东莞 0.242040536888*东莞市 0.107483571524*消息 0.106991223748*广东 0.0927150495196*广东省
0.318796397147*东莞 0.191998333065*扫黄 0.174852012161*广东 0.159610922213*整治 0.154742335414*行动
0.250887371034*马航 0.229935838243*家属 0.186967270555*乘客 0.167081239868*小时 0.1651282803*工作人员
0.380204911693*马航 0.198036904639*飞机 0.167308822275*失联 0.136213760814*MH370 0.11823560058*失事
0.374167864403*马航 0.227549891377*飞机 0.147865946677*马来西亚 0.138650424017*MH370 0.111765873526*航班
0.450788254041*打车 0.190294784167*司机 0.145174965909*软件 0.135224213393*出租车 0.0785177824898*手机
0.320514591002*美剧 0.320479755434*美剧 0.169137379285*禁令 0.100823836287*韩剧 0.0890444379916*详情
0.269195124378*马航 0.223699390996*旅游 0.173510926357*失联 0.171946571681*马来西亚 0.161647986588*游客
0.347200282699*余额宝 0.19340042032*支付 0.16384548488*银行 0.149498590152*金融 0.146055221949*互联网
0.409460705974*余额宝 0.1672035492*银行 0.161258725524*互联网 0.142433061058*理财 0.119643958244*收益
0.389659845182*马航 0.175878628038*家属 0.163817515924*飞机 0.143274421098*失联 0.127369589758*马来西亚
0.420882690241*马航 0.1674053273*飞机 0.153165053025*失联 0.147785821274*消息 0.110761108159*事件
0.237255970254*马航 0.211673224974*中国 0.189691153259*马来西亚 0.184574556682*政府 0.176805094832*国家
