0.246061757281*文章 0.218109973653*大叔 0.201968516069*学生 0.168504733375*px 0.165355019622*屌丝
0.267169250539*文章 0.246101742493*姚笛 0.215393377113*马伊琍 0.144416078936*马伊利 0.126919550918*遇见
0.485107155387*我是歌手 0.182725797957*邓紫棋 0.118255527076*歌手 0.114401368125*快乐 0.0995101514558*喜欢
0.407606466792*文章 0.164622983052*喜欢 0.147994482152*感情 0.140927241724*姚笛 0.13884882628*记得
0.32918613236*美剧 0.326578590024*美剧 0.163290258342*文章 0.0946849601798*喜欢 0.0862600590945*电影
0.31564646098*马航 0.20552956409*失联 0.179982591129*飞机 0.171782849538*客机 0.127058534263*搜寻
0.316304425239*欧冠 0.315144721479*欧冠 0.166902655012*决赛 0.110925801062*主场 0.0907223972086*比赛
0.387996039542*文章 0.212284021437*姚笛 0.148910402489*出轨 0.126931116315*爱情 0.123878420217*马伊琍
0.3911685125*东莞 0.180540571365*消息 0.174830109677*余额宝 0.13661374947*东莞市 0.116847056988*中国
0.206080797971*适合 0.20013068732*谢娜 0.199477511782*幻想 0.197518246232*刘烨 0.196792756696*李亚鹏
0.359524828842*马航 0.185095037712*马来西亚 0.163494102128*MH370 0.155798501255*失联 0.136087530064*飞机
0.381652366246*打车 0.185836613895*软件 0.179499605704*司机 0.140051179903*余额宝 0.112960234253*嘀嘀
0.329791880088*文章 0.180776136302*这辈子 0.17162721734*事情 0.171101256268*骄傲 0.146703510002*马伊俐
0.281384001579*停止 0.243788814683*XP 0.177211329122*系统 0.152037509573*用户 0.145578345044*电脑
0.250696171483*文章 0.211300981013*姚笛 0.19578204867*爆料 0.173232592263*娱乐 0.16898820657*八卦
0.240884632055*服贸 0.2187497011*台湾 0.217773085998*文章 0.195638155043*东莞 0.126954425803*学生
0.47371827969*马航 0.154829951689*飞机 0.136364465191*马来西亚 0.12405398091*事件 0.111033322521*失联
0.317103802707*时间 0.20901897062*北京 0.167502675598*晋级 0.1653557743*文章 0.141018776774*东莞
0.32514867875*马航 0.256418832881*中国 0.172205951454*事件 0.149547686602*文章 0.0966788503133*飞机
0.472322237637*我是歌手 0.140917486615*喜欢 0.13513541508*邓紫棋 0.129093392567*张杰 0.122531468102*韩磊
