0.341056427093*文章 0.247931105673*姚笛 0.210122867883*马伊琍 0.130499692446*马伊利 0.0703899069057*出轨
0.325658391692*服贸 0.260499057384*台湾 0.17287589113*学生 0.12725043071*大陆 0.113716229084*中国
0.206311788845*马云 0.201280614327*余额宝 0.199767692088*马航 0.198290173647*马化腾 0.194349731093*围剿
0.308007938118*文章 0.196478749712*事情 0.181544218553*骄傲 0.178872498272*这辈子 0.135096595345*马伊俐
0.363689327571*文章 0.293263379839*姚笛 0.215524065523*马伊琍 0.0705446261783*马伊利 0.056978600889*希望
0.390922770625*文章 0.227411436074*出轨 0.14733443969*爱情 0.126170527561*喜欢 0.10816082605*相信
0.249236055696*马航 0.215174816411*事件 0.206013513192*文章 0.180878785812*冯绍峰 0.148696828889*马伊琍
0.225076732947*消息 0.213155117705*八卦 0.195477937427*爆料 0.184172963758*奶茶 0.182117248163*京东
0.203599517497*刘烨 0.201085236031*这辈子 0.198769306144*谢娜 0.198570649877*骄傲 0.197975290451*李亚鹏
0.246022673594*马伊琍 0.242855350315*文章 0.236459954832*姚笛 0.139113782109*遇见 0.135548239151*马伊利
0.425283674791*文章 0.195847594817*姚笛 0.167468406926*马伊琍 0.113837044781*出轨 0.0975632786846*爱情
0.216422747286*买不起 0.215092967207*马伊琍 0.193705691322*姚笛 0.188275776382*遇见 0.186502817803*所有人
0.231856298018*文章 0.213214872014*相信 0.211732585701*爱情 0.175417710882*出轨 0.167778533385*离婚
0.38119712662*文章 0.2325323169*姚笛 0.146740024663*出轨 0.141568285889*马伊琍 0.0979622459275*孩子
0.382928947529*我是歌手 0.177492412759*喜欢 0.165219509225*文章 0.158988196913*希望 0.115370933575*马航
0.21101709703*遇见 0.21033869997*小三 0.194224544085*买不起 0.192789404898*姚笛 0.191630254016*所有人
0.218627522189*欧冠 0.21847983459*欧冠 0.213605175361*停止 0.193810679024*XP 0.155476788836*微软
0.380942561853*马航 0.202390190959*失联 0.181330860778*飞机 0.129909814893*MH370 0.105426571517*航班
0.286546919783*马伊琍 0.277115230611*文章 0.170368053066*难过 0.150218909131*出轨 0.11575088741*马伊俐
0.366999203462*我是歌手 0.307015374436*东莞 0.126600377687*喜欢 0.102236911857*东莞市 0.0971481325583*邓紫棋
