0.203242794255*春晚 0.202404421651*私人 0.199328894347*冯小刚 0.197931334961*订制 0.197092554787*马
0.236934245481*主持人 0.198726348831*李 0.198067699337*思思 0.193676047343*张国立 0.172595659008*朱军
0.23154017068*春晚 0.228731407603*主持 0.201043307029*主持人 0.176164334735*李 0.162520779953*张国立
0.267556015211*春晚 0.196564832483*朱军 0.187023175343*张国立 0.180534691787*联欢晚会 0.168321285175*春节
0.216111767054*高清 0.215411304863*观看 0.20350259512*春晚 0.185289157328*优 0.179685175634*在线播放
0.315463963693*春晚 0.184788577503*马 0.177131954243*冯小刚 0.162839150346*导演 0.159776354215*明星
0.297781666351*春晚 0.197599241524*郭德纲 0.192982751532*节目 0.185134106279*马 0.126502234314*四审
0.424767334557*我是歌手 0.168528220874*邓紫棋 0.137694630754*爱 0.136099768831*泡沫 0.132910044984*唱
0.474300010255*春晚 0.156698250292*卫视 0.150379719404*湖北 0.134373651633*录制 0.0842483684159*现场
0.335415622579*春晚 0.176471178981*央视春晚 0.168336288363*优 0.16333017691*观看 0.156446733166*小品
0.498067869986*春晚 0.184615617492*节目 0.130771143687*马 0.0961571480161*中国 0.0903882208186*央视春晚
0.369042582821*我是歌手 0.215475948522*歌手 0.150596801835*节目 0.141073064001*邓紫棋 0.123811602821*演唱
0.295674421499*春晚 0.189625593267*央视 0.181556904838*张国立 0.168876853447*主持 0.164266226949*思思
0.350434557198*春晚 0.193548607761*主持 0.184751254707*央视 0.145896368729*主持人 0.125369211605*节目
0.448615426594*春晚 0.155138952166*录制 0.153795855699*湖北 0.12760476771*观看 0.114844997832*卫视
0.223000059756*张国立 0.216733894339*央视 0.205307530272*主持 0.179875192614*阵容 0.17508332302*朱军
0.425367929397*春晚 0.2417899831*直通 0.125375018862*宇 0.119902268352*华晨 0.087564800289*唱
0.225657627672*在线播放 0.224126705*优 0.220606331469*高清 0.216932491363*观看 0.112676844495*春晚
0.227204034367*郭德纲 0.199819394023*四审 0.199518503179*无缘 0.194402644123*四审 0.179055424308*节目
0.478562393439*我是歌手 0.192262462631*歌手 0.127383191658*张杰 0.107740907989*邓紫棋 0.0940510442834*春晚
