0.290903695881*我是歌手 0.240226070539*欧冠 0.240094457954*欧冠 0.127024490709*决赛 0.101751284918*歌手
0.368928835515*文章 0.181108859837*爱情 0.160388987102*相信 0.151916917998*李亚鹏 0.137656399548*马伊琍
0.400799638867*马航 0.196760150957*失联 0.165679910263*飞机 0.124920091971*MH370 0.111840207941*客机
0.281670647829*文章 0.255313113107*姚笛 0.227377862867*马伊琍 0.123649336133*感情 0.111989040064*选择
0.203554632955*余额宝 0.20288896222*午马 0.201644317795*出事 0.197446826265*马云 0.194465260766*马英九
0.32797565523*文章 0.274574379924*马航 0.149811601067*马云 0.128860191264*出事 0.118778172514*马伊琍
0.375237773967*东莞 0.171739658499*暴雨 0.16409377034*找到 0.150860599403*下水道 0.13806819779*女生
0.227988107112*刘汉 0.197559854899*组织 0.194848211644*刘维 0.190404474068*黑社会 0.189199352277*领导
0.256522354824*昆明 0.242190184267*马航 0.190704724056*文章 0.162040100853*出轨 0.148542636*东莞
0.298844897766*文章 0.197030782055*爱情 0.182975941015*马伊琍 0.168459326224*姚笛 0.152689052941*感情
0.285919569111*服贸 0.256779929646*台湾 0.171235069002*马伊琍 0.146999626322*文章 0.13906580592*告诉
0.378419973407*文章 0.17780272177*马伊琍 0.166374891753*出轨 0.144269296405*珍惜 0.133133116665*姚笛
0.393917671981*文章 0.227892153837*姚笛 0.202143732069*马伊琍 0.0938487918358*出轨 0.0821976502773*孩子
0.215581744813*马伊琍 0.210570701281*姚笛 0.193111232018*结婚 0.192425302321*事业 0.188311019567*裸婚
0.319141727698*美剧 0.316108206047*美剧 0.141004351208*电影 0.115063207298*节目 0.10868250775*文章
0.243315738649*马航 0.223202803216*消息 0.19450589289*八卦 0.172431146936*余额宝 0.166544418309*中国
0.343862793747*文章 0.254229677079*事情 0.157100404713*马航 0.137610022547*打车 0.107197101914*出轨
0.323679509089*文章 0.244874515125*马伊琍 0.149534273724*姚笛 0.14131420579*珍惜 0.140597496272*出轨
0.302129280399*文章 0.268391943315*姚笛 0.2241188677*马伊琍 0.114353928433*马伊利 0.0910059801527*所有人
0.230537824288*马航 0.212447633523*马云 0.189723044963*马化腾 0.186349104348*余额宝 0.180942392878*午马
