0.255248934272*马伊琍 0.216138395955*文章 0.194318627937*父亲 0.170749281253*爸爸 0.163544760583*头条
0.221594394066*马航 0.204922332592*文章 0.194204324206*拯救 0.189990542076*春晚 0.189288407061*马来西亚
0.390766999921*打车 0.214398220331*司机 0.154471998402*软件 0.129557214089*出租车 0.110805567257*乘客
0.340619568427*文章 0.230585682343*马伊琍 0.184468613518*关心 0.126762835635*态度 0.117563300076*估计
0.347628539101*文章 0.279491940686*姚笛 0.169672616395*马伊琍 0.114362334743*出轨 0.0888445690751*马航
0.323508505736*文章 0.239332016259*姚笛 0.234137317377*马伊琍 0.107394966025*出轨 0.0956271946032*爱情
0.27826430957*服贸 0.231701306076*台湾 0.182427114259*中国 0.154999572879*学生 0.152607697217*文章
0.247933386296*东莞 0.21546629207*XP 0.195395505609*中国 0.172668539651*服务 0.168536276374*停止
0.293737730467*马航 0.21542519182*飞机 0.188403305992*文章 0.169950808172*昆明 0.132482963549*马来西亚
0.253131260835*欧冠 0.251791526549*欧冠 0.187822486025*皇马 0.153660897548*马化腾 0.153593829043*马云
0.377684726427*文章 0.230846126242*姚笛 0.158928270494*出轨 0.148841451205*马伊琍 0.0836994256326*孩子
0.271122106809*刘汉 0.208288552886*组织 0.177540403733*黑社会 0.171658225026*参加 0.171390711545*刘维
0.489638177648*马航 0.143287760195*事情 0.142534550528*文章 0.114530126163*事件 0.110009385467*失联
0.349155082036*文章 0.274001671294*姚笛 0.170596316138*马伊琍 0.110751718902*爱情 0.0954952116304*马伊利
0.208712584787*东莞 0.205551867908*昆明 0.202425636292*文章 0.194832915016*拯救 0.188476995997*春晚
0.269396535217*马航 0.257459742937*文章 0.168141965711*希望 0.163820014246*东莞 0.141181741889*出轨
0.376160183768*文章 0.193426138487*马伊琍 0.156559468861*姚笛 0.14367088517*出轨 0.130183323714*孩子
0.378835488084*美剧 0.376592852591*美剧 0.0934835574617*喜欢 0.0784872846714*时间 0.0726008171919*电影
0.34090755781*马航 0.200246890262*MH370 0.182463708481*失联 0.152145786676*马来西亚 0.124236056771*客机
0.277611705962*我是歌手 0.210192897905*邓紫棋 0.173210541571*歌词 0.170434274625*动人 0.168550579938*粤语歌
