0.419076882823*打车 0.206366795587*司机 0.164403673488*软件 0.118767229523*出租车 0.091385418578*师傅
0.469010692598*我是歌手 0.142121201355*张杰 0.139415135993*邓紫棋 0.131168759696*歌手 0.118284210358*冠军
0.304189031477*PX 0.215876253871*茂名 0.192476957038*项目 0.161781331241*事件 0.125676426373*政府
0.245743402407*马航 0.220835643464*调查 0.186075892367*警方 0.178446973002*马来西亚 0.16889808876*MH370
0.325821043986*文章 0.19320959374*出轨 0.180420417446*姚笛 0.163672647276*小时 0.136876297553*主演
0.291297559298*XP 0.205622108276*微软 0.174679694607*系统 0.172697142633*倒计时 0.155703495187*停止
0.337143952526*马航 0.182197272067*失联 0.174610278477*飞机 0.167450360791*客机 0.138598136138*MH370
0.280203501802*文章 0.239545667703*姚笛 0.170972005773*选择 0.166338654147*飞机 0.142940170574*地方
0.233459537373*事件 0.206731595107*关注 0.203266825286*文章 0.191387684987*报道 0.165154357248*中国
0.375451397884*文章 0.216979001321*姚笛 0.201449625928*出轨 0.140708181198*马伊琍 0.0654117936688*婚姻
0.38569952175*马航 0.216368698418*文章 0.148367611668*失联 0.1360035053*飞机 0.113560662864*中国
0.304454935675*马航 0.222331925592*失联 0.177593880474*客机 0.163628698444*飞机 0.131990559815*MH370
0.292235637159*马航 0.214602031983*马云 0.178963961912*马英九 0.164130484305*余额宝 0.150067884642*午马
0.304997851341*欧冠 0.304298338402*欧冠 0.159251344807*决赛 0.120837225102*皇马 0.110615240348*主场
0.378291354906*美剧 0.374779157958*美剧 0.0906226809458*中国 0.0788559275876*刘汉 0.0774508786024*台湾
0.26974169311*马航 0.205021326158*事件 0.198679574553*中国 0.1751368188*马来西亚 0.151420587379*游客
0.27128627384*马航 0.20558031398*文章 0.198019975626*头条 0.172097530703*出轨 0.153015905851*中国
0.232916189126*工作 0.204081565053*MH370 0.198815091831*证实 0.193943348769*马航 0.170243805221*机上
0.240085033126*马航 0.221005886779*文章 0.201238518648*飞机 0.180157553129*昆明 0.157513008318*拯救
0.261033570916*文章 0.206179184982*下载 0.197982155053*篇文章 0.188524683467*地址 0.146280405583*推荐
