0.46621108047*打车 0.206519926484*司机 0.127235991427*出租车 0.109194988669*软件 0.0908380129514*回家
0.282209786846*台湾 0.219497994383*服贸 0.190992055351*文章 0.178449696858*学生 0.128850466562*马航
0.271990547327*中国 0.208273902463*文章 0.203994317143*关注 0.16547861192*刘汉 0.150262621148*马航
0.449587516505*我是歌手 0.166642653861*邓紫棋 0.135777328409*韩磊 0.130325122084*歌手 0.117667379141*歌王
0.32481649212*欧冠 0.324573967586*欧冠 0.153649726328*决赛 0.101460420701*拜仁 0.0954993932657*曼联
0.478472081328*我是歌手 0.151270420613*歌手 0.134049525797*张杰 0.125119921928*喜欢 0.111088050333*歌王
0.316867466952*马航 0.24254196398*消息 0.165770900601*中国 0.141321613302*信号 0.133498055165*报道
0.308475523608*马航 0.189710940834*MH370 0.188339269092*飞机 0.182067874935*失联 0.131406391531*航班
0.315033934766*PX 0.252215985699*政府 0.16147949522*项目 0.155820039692*事件 0.115450544623*马航
0.492362369058*文章 0.133700885052*事情 0.125888616806*喜欢 0.125178106128*出轨 0.122870022956*感情
0.238531511723*文章 0.207601548777*离婚 0.187156110372*丈夫 0.186893912129*采访 0.179816916999*家庭
0.2475882088*XP 0.197866802438*腾讯 0.194572929942*挑战赛 0.185867867937*电脑 0.174104190882*攻破
0.369929535733*文章 0.216720751135*姚笛 0.193659740419*出轨 0.165933535992*马伊琍 0.0537564367212*爱奇艺
0.2858259712*文章 0.257112345619*篇文章 0.166227924888*下载 0.159905575862*地址 0.13092818243*百度
0.237598759397*东莞 0.208205790192*消息 0.19442740319*文章 0.186773217112*中国 0.172994830109*马航
0.344094334399*美剧 0.340285530233*美剧 0.134410132374*喜欢 0.101034850034*时间 0.0801751529599*文章
0.21308293531*马航 0.207002398112*黑匣子 0.206534936708*信号 0.192503051529*海巡 0.180876678341*印度洋
0.303163533455*马航 0.215566432759*失联 0.189371985908*客机 0.148061595772*搜寻 0.143836452107*MH370
0.287592317322*XP 0.191330497591*用户 0.177578680125*服务 0.176682018666*系统 0.166816486296*停止
0.359211405658*马航 0.184250585251*飞机 0.170722063941*马来西亚 0.146189059937*失联 0.139626885213*事件
