0.355798502409*马航 0.206715016144*飞机 0.150338871606*文章 0.144074899163*事件 0.143072710678*中国
0.304202882844*欧冠 0.291859398143*欧冠 0.165777536939*决赛 0.120747949857*主场 0.117412232217*比赛
0.435336971165*打车 0.229135297914*司机 0.144664316605*出租车 0.106391017876*软件 0.0844723964407*师傅
0.243197499197*时间 0.229594880217*我是歌手 0.21499632426*喜欢 0.164234296015*记得 0.147977000311*老师
0.399302857186*美剧 0.397372667503*美剧 0.0753051974227*美国 0.0656507740345*喜欢 0.0623685038534*韩剧
0.319950481579*PX 0.19397138151*学生 0.17991346739*清华 0.165450515852*低毒 0.140714153669*词条
0.343499962086*马航 0.209459815364*失联 0.182134540548*飞机 0.144376373644*马来西亚 0.120529308358*MH370
0.294216377971*马航 0.265021676694*飞机 0.159297611699*失联 0.156463309554*信心 0.125001024082*武器
0.296153352214*打车 0.28094445233*东莞 0.161809446776*文章 0.143643031326*回家 0.117449717354*问题
0.30554110948*文章 0.203554920288*出轨 0.17435519628*家庭 0.16039034096*采访 0.156158432992*父亲
0.303014722946*XP 0.19932328041*腾讯 0.187979124008*电脑 0.163299950381*攻破 0.146382922254*黑客
0.380994705354*欧冠 0.351761855611*欧冠 0.0937416375174*皇马 0.087068675096*希望 0.0864331264216*球队
0.270524107099*马航 0.19463030688*失联 0.192013292202*信号 0.177764851474*黑匣子 0.165067442345*海巡
0.507225597499*我是歌手 0.166950943952*歌手 0.123591921136*总决赛 0.102993448874*邓紫棋 0.0992380885401*张杰
0.240440565254*马航 0.207138974907*信号 0.190338409166*黑匣子 0.188543826636*海巡 0.173538224037*搜寻
0.441433638732*文章 0.161396908166*篇文章 0.139388644729*推荐 0.129522709415*阅读 0.128258098958*出轨
0.298759435039*马航 0.224530716614*消息 0.205261308582*中国 0.138907882217*东莞 0.132540657548*失联
0.365172796558*文章 0.242998887175*姚笛 0.142605399094*奶茶 0.12487072008*妹妹 0.124352197092*出轨
0.31655963844*马航 0.203063786922*信号 0.180811973224*黑匣子 0.153863667501*MH370 0.145700933913*飞机
0.392004128409*我是歌手 0.255045408327*邓紫棋 0.138925556494*喜欢 0.107602226114*歌手 0.106422680656*韩磊
