0.249452864593*XP 0.22707687545*微软 0.201595173163*系统 0.163902201243*停止 0.157972885551*用户
0.228531512942*保护 0.22137549035*微软 0.198060905436*大赛 0.179363172409*助手 0.172668918862*奇葩
0.334567807532*文章 0.217739287291*姚笛 0.180256185347*出轨 0.178740022551*马伊琍 0.0886966972794*高清
0.280797330882*XP 0.207109900669*微软 0.181792382349*服务 0.16820366719*支持 0.16209671891*停止
0.379505728985*文章 0.22176567299*美剧 0.210100610479*美剧 0.111744946911*喜欢 0.0768830406348*美国
0.448538263141*打车 0.199365908243*司机 0.149293462382*出租车 0.11256503399*软件 0.0902373322433*师傅
0.336410714125*奶茶 0.289724253826*妹妹 0.145480734802*热恋 0.130571601883*京东 0.0978126953633*章泽天
0.320869309647*我是歌手 0.318029817539*邓紫棋 0.169664440196*喜欢 0.104355164362*音乐 0.0870812682554*鄧紫棋
0.320807470903*马航 0.214696763033*失联 0.181514186401*MH370 0.154955817589*航班 0.128025762073*家属
0.231513790812*篇文章 0.197699029371*阅读 0.196716698835*下载 0.187456135588*地址 0.186614345394*推荐
0.243136238494*文章 0.200713156456*XP 0.197504444915*内容 0.192157002773*篇文章 0.166489157362*时间
0.311702709867*PX 0.208584755525*学生 0.167840502162*项目 0.15694187297*中国 0.154930159476*服贸
0.209399128905*游戏 0.205465136134*文章 0.197797818822*频道 0.197404623062*网易 0.189933293078*提供
0.320661800731*欧冠 0.320661800731*欧冠 0.146481170074*决赛 0.110501124358*比赛 0.101694104106*切尔西
0.304656960081*马航 0.202544828763*信号 0.183258851318*失联 0.160371580725*搜寻 0.149167779112*飞机
0.298932787165*我是歌手 0.210828469369*宫锁 0.207218900699*连城 0.156850193829*歌手 0.126169648939*湖南卫视
0.306068473102*文章 0.236611116171*事件 0.17770237186*中国 0.154820142458*马航 0.124797896409*表现
0.452904729832*文章 0.153084983256*出轨 0.146991915545*事情 0.130236699367*家庭 0.116781672*经验
0.322369631458*马航 0.196275249529*失联 0.169236775264*客机 0.167912497554*MH370 0.144205846195*搜寻
0.303142214457*文章 0.198251719817*黄金 0.181141976015*白银 0.166636137756*马航 0.150827951955*现货
