0.302603849042*XP 0.211196456377*微软 0.169891435411*系统 0.158757575033*停止 0.157550684136*服务
0.264377797705*专家 0.256433639783*文章 0.188751408199*发表 0.182714058064*中国 0.107723096249*咨询
0.223092712791*世界 0.219174737402*XP 0.207420811237*记得 0.18898370155*地方 0.16132803702*时间
0.203595294694*见证 0.201698749917*大赛 0.200791590573*奇葩 0.197080932674*腰精 0.196833432142*面膜
0.278215423568*微软 0.23251464003*XP 0.207811916406*支持 0.146673047854*停止 0.134784972142*保护
0.33452331608*文章 0.225860721094*姚笛 0.152029734857*黄金 0.146670954596*白银 0.140915273372*马伊琍
0.205929179052*系统 0.204337366366*XP 0.200755994122*进入 0.19856756113*女生 0.190409899331*升级
0.426430288086*打车 0.21218782466*司机 0.146549517775*出租车 0.109251670955*兰州 0.105580698524*文章
0.276981289891*结束 0.193006749973*爸爸 0.184746897827*停止 0.173458557941*林志颖 0.171806504369*苹果
0.343146590169*我是歌手 0.187270086541*文章 0.177744497746*邓紫棋 0.146785430176*歌手 0.145053395367*观看
0.220041945835*篇文章 0.215135021299*推荐 0.201605535461*下载 0.198929425915*阅读 0.16428807149*百度
0.450619390786*文章 0.175811151612*奶茶 0.137722972482*妹妹 0.137325040945*出轨 0.0985214441752*姚笛
0.236092872381*美剧 0.232599963599*美剧 0.220569025338*连城 0.217335010529*宫锁 0.0934031281534*剧情
0.218098518694*XP 0.21733554897*服务 0.207422422785*软件 0.182003291791*用户 0.17514021776*手机
0.36995980854*马航 0.190499599248*失联 0.150000399662*事件 0.145201912855*马来西亚 0.144338279695*MH370
0.31190285415*兰州 0.19400004549*工地 0.167148006229*项目 0.165923519841*袭击 0.161025574289*受伤
0.256948881414*马航 0.212652625224*搜寻 0.185743547341*黑匣子 0.173676817409*失联 0.170978128612*MH370
0.300611719837*欧冠 0.29969381519*欧冠 0.144981739375*决赛 0.131640316807*切尔西 0.123072408792*回合
0.275731707778*中国 0.206067010121*文章 0.184937386482*事件 0.173431074783*问题 0.159832820837*XP
0.308779138844*马航 0.228098847676*失联 0.179825084786*MH370 0.162996629328*航班 0.120300299365*乘客
