0.593865443919*end 0.136687002922*http://t 0.109003792437*5 0.0848769124442*End 0.075566848278*-
0.537720461498*end 0.19495416462*the 0.113043075897*to 0.0800520662991*me 0.074230231685*it
0.639854462979*end 0.147334016742*http://t 0.0774951604969*RT 0.0678362083304*5 0.067480151451*iPad
0.616303617902*end 0.11994574311*Obama 0.0907585275297*RT 0.0892786178372*Barack 0.0837134936213*is
0.517237725622*end 0.131165591302*of 0.12738704841*to 0.11895316879*the 0.105256465876*RT
0.521797031851*end 0.13471582074*I 0.128340681403*to 0.107863094374*the 0.107283371632*and
0.615785547871*end 0.146978504459*http://t 0.0956753517205*RT 0.071512483328*a 0.0700481126212*in
0.558273204715*end 0.148183028599*http://t 0.111126260011*I 0.0923962234969*got 0.0900212831772*Which
0.621610653383*end 0.102565839864*2 0.100272026899*of 0.0907338536925*5 0.0848176261615*http://t
0.407287969268*end 0.202542209421*of 0.158834681079*Game 0.157667394908*Thrones 0.0736677453241*the
0.688232352367*end 0.115219215674*http://t 0.0887593181381*5 0.0720857946932*RT 0.0357033191279*&
0.655849208176*end 0.169510058663*http://t 0.0975037074902*5 0.0471561418649*for 0.0299808838064*RT
0.462914497403*end 0.199264902916*5 0.154918145517*iPhone 0.101619045077*a 0.0812834090879*I
0.434611707664*end 0.206433290938*RT 0.133623807591*to 0.127559207369*5 0.0977719864387*mini
0.595853734504*end 0.149094374883*5 0.0960289042547*RT 0.0841270790506*for 0.074895907307*to
0.36891974405*end 0.199512733997*who 0.163315358767*of 0.144424574709*in 0.123827588477*RT
0.570862103641*end 0.149646317846*http://t 0.107383475357*a 0.0944274190616*RT 0.0776806840942*to
0.440427105363*end 0.290126162845*of 0.110273514096*the 0.0798914513763*thrones 0.0792817663193*game
0.453569036085*end 0.240223340652*5 0.109382804967*iPhone 0.105949587414*I 0.0908752308818*to
0.388489808651*end 0.243696601947*of 0.161277182709*the 0.107518275402*RT 0.0990181312908*Game
